Results - based on chains 2 & 3 only as evidence of non-convergence with chain 1
30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[3,61]	0.2333	0.1671	0.002012	0.2075	0.4237	210000
	S[3,62]	0.2303	0.1673	0.002514	0.2035	0.4232	210000
	S[3,63]	0.2273	0.1676	0.002668	0.1995	0.4214	210000
	S[3,64]	0.2245	0.1678	0.001776	0.1954	0.4213	210000
	S[3,65]	0.2216	0.1681	0.001866	0.1915	0.4217	210000
	S[3,66]	0.2189	0.1684	0.001862	0.1877	0.4164	210000
	S[3,67]	0.2162	0.1687	0.002663	0.184	0.413	210000
	S[3,68]	0.2136	0.169	0.001839	0.1804	0.4074	210000
	S[3,69]	0.211	0.1692	0.001958	0.177	0.4048	210000
	S[3,70]	0.2085	0.1695	0.001802	0.1735	0.4036	210000
	S[3,71]	0.206	0.1698	0.00185	0.1701	0.4013	210000
	S[3,72]	0.2036	0.1701	0.002371	0.1669	0.3985	210000
	S[3,73]	0.2012	0.1704	0.002217	0.1637	0.3973	210000
	S[3,74]	0.1989	0.1707	0.001968	0.1606	0.3945	210000
	S[3,75]	0.1966	0.171	0.001855	0.1575	0.3884	210000
	S[3,76]	0.1944	0.1713	0.002123	0.1545	0.3842	210000
	S[3,77]	0.1923	0.1716	0.001971	0.1514	0.3817	210000
	S[3,78]	0.1901	0.1719	0.002342	0.1485	0.379	210000
	S[3,79]	0.1881	0.1722	0.002103	0.1457	0.3736	210000
	S[3,80]	0.186	0.1725	0.001855	0.1428	0.3738	210000
	S[3,81]	0.184	0.1728	0.002466	0.1401	0.3729	210000
	S[3,82]	0.1821	0.1731	0.002689	0.1374	0.3743	210000
	S[3,83]	0.1802	0.1734	0.001933	0.1348	0.3713	210000
	S[3,84]	0.1783	0.1737	0.001971	0.1323	0.3668	210000
	S[3,85]	0.1765	0.174	0.002372	0.1297	0.3643	210000
	S[3,86]	0.1747	0.1743	0.002209	0.1273	0.3626	210000
	S[3,87]	0.1729	0.1746	0.00205	0.1249	0.3593	210000
	S[3,88]	0.1712	0.1748	0.002372	0.1225	0.3539	210000
	S[3,89]	0.1695	0.1751	0.00279	0.1202	0.3507	210000
	S[3,90]	0.1678	0.1754	0.001901	0.1179	0.3504	210000
	S[3,91]	0.1662	0.1757	0.002346	0.1156	0.3461	210000
