Results - 30,000 burn in 70,000 iterations, seed 385916
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[3,70]	0.1573	0.03798	0.08913	0.1551	0.237	210000
	S[3,71]	0.1535	0.03761	0.08622	0.1513	0.2327	210000
	S[3,72]	0.1499	0.03725	0.08342	0.1477	0.2284	210000
	S[3,73]	0.1464	0.03688	0.0807	0.1441	0.2243	210000
	S[3,74]	0.1429	0.0365	0.07808	0.1406	0.2202	210000
	S[3,75]	0.1396	0.03613	0.07555	0.1373	0.2163	210000
	S[3,76]	0.1363	0.03576	0.07306	0.134	0.2123	210000
	S[3,77]	0.1331	0.03538	0.07069	0.1307	0.2085	210000
	S[3,78]	0.1299	0.03501	0.06839	0.1276	0.2047	210000
	S[3,79]	0.1269	0.03463	0.06618	0.1245	0.201	210000
	S[3,80]	0.1239	0.03425	0.06402	0.1215	0.1973	210000
	S[3,81]	0.121	0.03388	0.06192	0.1186	0.1937	210000
	S[3,82]	0.1182	0.0335	0.05986	0.1157	0.1902	210000
	S[3,83]	0.1154	0.03313	0.05788	0.1129	0.1868	210000
	S[3,84]	0.1127	0.03275	0.05598	0.1102	0.1834	210000
	S[3,85]	0.1101	0.03238	0.05418	0.1076	0.1801	210000
	S[3,86]	0.1075	0.032	0.05236	0.105	0.1768	210000
	S[3,87]	0.105	0.03163	0.05066	0.1024	0.1736	210000
	S[3,88]	0.1026	0.03126	0.049	0.09997	0.1705	210000
	S[3,89]	0.1002	0.03089	0.04739	0.09756	0.1674	210000
	S[3,90]	0.09783	0.03052	0.04583	0.09523	0.1644	210000
	S[3,91]	0.09555	0.03015	0.04432	0.09295	0.1614	210000
	S[3,92]	0.09333	0.02979	0.04287	0.09072	0.1585	210000
	S[3,93]	0.09116	0.02942	0.04148	0.08853	0.1556	210000
	S[3,94]	0.08905	0.02906	0.04011	0.0864	0.1529	210000
	S[3,95]	0.08698	0.0287	0.0388	0.08433	0.1502	210000
	S[3,96]	0.08496	0.02834	0.03753	0.08229	0.1475	210000
	S[3,97]	0.083	0.02798	0.03629	0.08032	0.1448	210000
	S[3,98]	0.08108	0.02763	0.03509	0.07837	0.1422	210000
	S[3,99]	0.0792	0.02728	0.03394	0.07649	0.1396	210000
	S[3,100]	0.07737	0.02693	0.03282	0.07465	0.1371	210000
	S[3,101]	0.07558	0.02658	0.03173	0.07286	0.1347	210000
	S[3,102]	0.07384	0.02623	0.03068	0.0711	0.1323	210000
	S[3,103]	0.07213	0.02589	0.02967	0.0694	0.1299	210000
	S[3,104]	0.07047	0.02555	0.02871	0.06773	0.1276	210000
	S[3,105]	0.06885	0.02521	0.02775	0.0661	0.1254	210000
	S[3,106]	0.06726	0.02488	0.02683	0.06451	0.1231	210000
	S[3,107]	0.06572	0.02455	0.02595	0.06296	0.1209	210000
	S[3,108]	0.06421	0.02422	0.0251	0.06145	0.1187	210000
	S[3,109]	0.06273	0.02389	0.02428	0.05996	0.1166	210000
	S[3,110]	0.06129	0.02357	0.02346	0.05852	0.1145	210000
	S[3,111]	0.05989	0.02325	0.0227	0.05712	0.1125	210000
	S[3,112]	0.05851	0.02293	0.02194	0.05575	0.1105	210000
