Results - 30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[2,118]	0.01433	0.007828	0.002304	0.013	0.03321	210000
	S[2,119]	0.01385	0.007624	0.002198	0.01254	0.03229	210000
	S[2,120]	0.01339	0.007425	0.002092	0.0121	0.03139	210000
	S[3,1]	0.9297	0.1206	0.5559	0.9742	0.9989	210000
	S[3,2]	0.9044	0.1227	0.5284	0.9481	0.9861	210000
	S[3,3]	0.8803	0.1212	0.5093	0.9224	0.9666	210000
	S[3,4]	0.8566	0.1188	0.4946	0.8971	0.9449	210000
	S[3,5]	0.8336	0.116	0.481	0.8723	0.9228	210000
	S[3,6]	0.8111	0.113	0.4683	0.848	0.901	210000
	S[3,7]	0.7891	0.1101	0.4561	0.8241	0.8798	210000
	S[3,8]	0.7678	0.1072	0.4452	0.8008	0.859	210000
	S[3,9]	0.747	0.1044	0.4347	0.7781	0.839	210000
	S[3,10]	0.7267	0.1017	0.4235	0.756	0.8196	210000
	S[3,11]	0.7071	0.09918	0.4126	0.7346	0.8006	210000
	S[3,12]	0.6879	0.09672	0.4022	0.7138	0.7823	210000
	S[3,13]	0.6693	0.09437	0.3925	0.6936	0.7645	210000
	S[3,14]	0.6512	0.09213	0.3819	0.6739	0.7473	210000
	S[3,15]	0.6336	0.08999	0.3719	0.6548	0.7304	210000
	S[3,16]	0.6164	0.08796	0.3627	0.6364	0.7139	210000
	S[3,17]	0.5998	0.08603	0.3532	0.6184	0.6979	210000
	S[3,18]	0.5835	0.08418	0.3449	0.601	0.6824	210000
	S[3,19]	0.5678	0.08243	0.3352	0.5841	0.6673	210000
	S[3,20]	0.5525	0.08075	0.3269	0.5678	0.6525	210000
	S[3,21]	0.5375	0.07915	0.3184	0.5519	0.638	210000
	S[3,22]	0.523	0.07763	0.3104	0.5364	0.624	210000
	S[3,23]	0.5089	0.07617	0.3031	0.5215	0.6103	210000
	S[3,24]	0.4952	0.07477	0.2954	0.5069	0.5968	210000
	S[3,25]	0.4819	0.07343	0.2875	0.4929	0.5837	210000
	S[3,26]	0.4689	0.07215	0.2803	0.4792	0.571	210000
	S[3,27]	0.4563	0.07092	0.2731	0.4659	0.5586	210000
	S[3,28]	0.444	0.06973	0.2658	0.453	0.5465	210000
	S[3,29]	0.4321	0.06859	0.2588	0.4405	0.5346	210000
	S[3,30]	0.4205	0.06748	0.2522	0.4284	0.523	210000
	S[3,31]	0.4092	0.06642	0.2451	0.4165	0.5117	210000
	S[3,32]	0.3982	0.06538	0.2388	0.405	0.5006	210000
	S[3,33]	0.3875	0.06438	0.2327	0.3938	0.4897	210000
	S[3,34]	0.3771	0.06341	0.2265	0.383	0.4791	210000
	S[3,35]	0.367	0.06247	0.2205	0.3724	0.4688	210000
	S[3,36]	0.3572	0.06155	0.2145	0.3622	0.4587	210000
	S[3,37]	0.3476	0.06066	0.2082	0.3523	0.4488	210000
	S[3,38]	0.3383	0.05978	0.2024	0.3426	0.4392	210000
	S[3,39]	0.3292	0.05893	0.197	0.3332	0.4297	210000
	S[3,40]	0.3204	0.05809	0.1915	0.3241	0.4205	210000
	S[3,41]	0.3119	0.05727	0.1858	0.3152	0.4114	210000
	S[3,42]	0.3035	0.05647	0.1805	0.3066	0.4026	210000
	S[3,43]	0.2954	0.05568	0.1754	0.2981	0.3942	210000
	S[3,44]	0.2876	0.05491	0.1701	0.29	0.3857	210000
	S[3,45]	0.2799	0.05415	0.165	0.2821	0.3775	210000
	S[3,46]	0.2724	0.0534	0.1601	0.2744	0.3695	210000
	S[3,47]	0.2652	0.05266	0.1551	0.2669	0.3616	210000
	S[3,48]	0.2581	0.05193	0.1503	0.2596	0.3539	210000
	S[3,49]	0.2512	0.05122	0.1456	0.2525	0.3465	210000
	S[3,50]	0.2446	0.05051	0.1412	0.2456	0.3391	210000
	S[3,51]	0.2381	0.04981	0.1369	0.2389	0.3319	210000
	S[3,52]	0.2317	0.04912	0.1324	0.2324	0.3248	210000
	S[3,53]	0.2256	0.04844	0.1279	0.2261	0.3179	210000
	S[3,54]	0.2196	0.04776	0.124	0.2199	0.3113	210000
	S[3,55]	0.2138	0.0471	0.1202	0.2139	0.3046	210000
	S[3,56]	0.2081	0.04644	0.1163	0.2081	0.2982	210000
	S[3,57]	0.2026	0.04579	0.1126	0.2024	0.2919	210000
	S[3,58]	0.1972	0.04514	0.1089	0.1969	0.2857	210000
	S[3,59]	0.192	0.0445	0.1054	0.1916	0.2797	210000
	S[3,60]	0.1869	0.04387	0.1018	0.1864	0.2738	210000
	S[3,61]	0.182	0.04325	0.0984	0.1813	0.268	210000
	S[3,62]	0.1771	0.04263	0.09519	0.1764	0.2623	210000
	S[3,63]	0.1725	0.04202	0.0921	0.1716	0.2567	210000
	S[3,64]	0.1679	0.04141	0.08916	0.1669	0.2513	210000
	S[3,65]	0.1635	0.04081	0.08632	0.1624	0.246	210000
	S[3,66]	0.1592	0.04021	0.08351	0.158	0.2408	210000
	S[3,67]	0.155	0.03962	0.08069	0.1537	0.2357	210000
	S[3,68]	0.1509	0.03904	0.07799	0.1495	0.2307	210000
	S[3,69]	0.1469	0.03847	0.07535	0.1454	0.2258	210000
	S[3,70]	0.143	0.03789	0.07284	0.1415	0.2211	210000
	S[3,71]	0.1393	0.03733	0.07043	0.1377	0.2164	210000
	S[3,72]	0.1356	0.03677	0.06813	0.1339	0.2119	210000
	S[3,73]	0.132	0.03622	0.06586	0.1303	0.2074	210000
	S[3,74]	0.1286	0.03567	0.06365	0.1267	0.2031	210000
	S[3,75]	0.1252	0.03513	0.06154	0.1233	0.1988	210000
	S[3,76]	0.1219	0.03459	0.05947	0.12	0.1946	210000
	S[3,77]	0.1187	0.03406	0.05744	0.1167	0.1905	210000
	S[3,78]	0.1156	0.03354	0.05551	0.1135	0.1865	210000
	S[3,79]	0.1126	0.03302	0.05366	0.1105	0.1825	210000
	S[3,80]	0.1096	0.0325	0.05186	0.1075	0.1787	210000
	S[3,81]	0.1067	0.032	0.05009	0.1046	0.1749	210000
	S[3,82]	0.1039	0.03149	0.04842	0.1018	0.1713	210000
	S[3,83]	0.1012	0.031	0.04677	0.099	0.1677	210000
	S[3,84]	0.09858	0.03051	0.04515	0.09632	0.1642	210000
	S[3,85]	0.096	0.03002	0.04358	0.09371	0.1608	210000
	S[3,86]	0.09349	0.02954	0.04208	0.09118	0.1574	210000
	S[3,87]	0.09105	0.02907	0.04065	0.0887	0.1541	210000
	S[3,88]	0.08868	0.0286	0.03927	0.0863	0.1508	210000
	S[3,89]	0.08636	0.02814	0.03788	0.08396	0.1477	210000
	S[3,90]	0.08411	0.02769	0.0366	0.0817	0.1446	210000
	S[3,91]	0.08192	0.02724	0.03537	0.07948	0.1415	210000
	S[3,92]	0.07979	0.02679	0.03418	0.07733	0.1385	210000
	S[3,93]	0.07771	0.02635	0.033	0.07525	0.1356	210000
	S[3,94]	0.07569	0.02592	0.03189	0.07321	0.1327	210000
	S[3,95]	0.07372	0.02549	0.0308	0.07123	0.1299	210000
	S[3,96]	0.0718	0.02507	0.02975	0.06931	0.1272	210000
	S[3,97]	0.06994	0.02465	0.02871	0.06743	0.1245	210000
	S[3,98]	0.06812	0.02424	0.02772	0.0656	0.1219	210000
	S[3,99]	0.06635	0.02383	0.02677	0.06383	0.1194	210000
	S[3,100]	0.06463	0.02343	0.02584	0.06211	0.1169	210000
	S[3,101]	0.06295	0.02304	0.02493	0.06044	0.1145	210000
	S[3,102]	0.06132	0.02265	0.0241	0.05881	0.1121	210000
	S[3,103]	0.05973	0.02227	0.02325	0.05722	0.1098	210000
	S[3,104]	0.05819	0.02189	0.02247	0.05567	0.1075	210000
